playerID,Name,yearID,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,HBP
welchmi01,Mickey Welch,1883,84,320,42,75,13,5,2,30.0,10,0.0,0.0
broutda01,Dan Brouthers,1883,98,425,85,159,41,17,3,97.0,16,0.0,0.0
whitede01,Deacon White,1883,94,391,62,114,14,5,0,47.0,23,0.0,0.0
ewingbu01,Buck Ewing,1883,88,376,90,114,11,13,10,41.0,20,0.0,0.0
keefeti01,Tim Keefe,1883,70,259,39,57,6,9,0,0.0,14,0.0,0.0
wardjo01,John Ward,1883,88,380,76,97,18,7,7,54.0,8,0.0,0.0
ansonca01,Cap Anson,1883,98,413,70,127,36,5,0,68.0,18,0.0,0.0
galvipu01,Pud Galvin,1883,80,322,41,71,11,2,1,19.0,3,0.0,0.0
mcphebi01,Bid McPhee,1883,96,367,61,90,10,10,2,42.0,18,0.0,0.0
kellyki01,King Kelly,1883,98,428,92,109,28,10,3,61.0,16,0.0,0.0
orourji01,Jim O'Rourke,1883,94,436,102,143,29,8,1,38.0,15,0.0,0.0
connoro01,Roger Connor,1883,98,409,80,146,28,15,1,50.0,25,0.0,0.0
radboch01,Old Hoss Radbourn,1883,89,381,59,108,11,3,3,48.0,14,0.0,0.0
kellyki01,King Kelly,1884,108,452,120,160,28,5,13,95.0,46,0.0,0.0
ewingbu01,Buck Ewing,1884,94,382,90,106,15,20,3,41.0,28,0.0,0.0
galvipu01,Pud Galvin,1884,72,274,34,49,6,1,0,24.0,2,0.0,0.0
clarkjo01,John Clarkson,1884,21,84,16,22,6,2,3,17.0,2,0.0,0.0
whitede01,Deacon White,1884,110,452,82,147,16,11,5,74.0,32,0.0,0.0
broutda01,Dan Brouthers,1884,94,398,82,130,22,15,14,79.0,33,0.0,0.0
orourji01,Jim O'Rourke,1884,108,467,119,162,33,7,5,63.0,35,0.0,0.0
ansonca01,Cap Anson,1884,112,475,108,159,30,3,21,102.0,29,0.0,0.0
radboch01,Old Hoss Radbourn,1884,87,361,48,83,7,1,1,37.0,26,0.0,0.0
welchmi01,Mickey Welch,1884,71,249,47,60,14,3,3,29.0,16,0.0,0.0
mcphebi01,Bid McPhee,1884,112,450,107,125,8,7,5,64.0,27,0.0,6.0
mccarto01,Tommy McCarthy,1884,53,209,37,45,2,2,0,0.0,6,0.0,0.0
wardjo01,John Ward,1884,113,482,98,122,11,8,2,51.0,28,0.0,0.0
keefeti01,Tim Keefe,1884,62,210,27,50,3,6,3,0.0,18,0.0,1.0
connoro01,Roger Connor,1884,116,477,98,151,28,4,4,82.0,38,0.0,0.0
connoro01,Roger Connor,1885,110,455,102,169,23,15,1,65.0,51,0.0,0.0
orourji01,Jim O'Rourke,1885,112,477,119,143,21,16,5,42.0,40,0.0,0.0
thompsa01,Sam Thompson,1885,63,254,58,77,11,9,7,44.0,16,0.0,0.0
mccarto01,Tommy McCarthy,1885,40,148,16,27,2,0,0,11.0,5,0.0,0.0
ewingbu01,Buck Ewing,1885,81,342,81,104,15,12,6,63.0,13,0.0,0.0
wardjo01,John Ward,1885,111,446,72,101,8,9,0,37.0,17,0.0,0.0
kellyki01,King Kelly,1885,107,438,124,126,24,7,9,75.0,46,0.0,0.0
mcphebi01,Bid McPhee,1885,110,431,78,114,12,4,0,46.0,19,0.0,7.0
ansonca01,Cap Anson,1885,112,464,100,144,35,7,7,108.0,34,0.0,0.0
welchmi01,Mickey Welch,1885,56,199,28,41,8,0,2,19.0,14,0.0,0.0
broutda01,Dan Brouthers,1885,98,407,87,146,32,11,7,59.0,34,0.0,0.0
keefeti01,Tim Keefe,1885,47,166,20,27,1,5,0,12.0,13,0.0,0.0
galvipu01,Pud Galvin,1885,11,38,2,4,0,0,0,2.0,0,0.0,0.0
radboch01,Old Hoss Radbourn,1885,66,249,34,58,9,2,0,22.0,36,0.0,0.0
galvipu01,Pud Galvin,1885,33,122,14,23,4,2,1,10.0,1,0.0,0.0
clarkjo01,John Clarkson,1885,72,283,34,61,11,5,4,32.0,3,0.0,0.0
whitede01,Deacon White,1885,98,404,54,118,6,6,0,57.0,12,0.0,0.0
broutda01,Dan Brouthers,1886,121,489,139,181,40,15,11,72.0,66,0.0,0.0
wardjo01,John Ward,1886,122,491,82,134,17,5,2,81.0,19,0.0,0.0
connoro01,Roger Connor,1886,118,485,105,172,29,20,7,71.0,41,0.0,0.0
kellyki01,King Kelly,1886,118,451,155,175,32,11,4,79.0,83,0.0,0.0
clarkjo01,John Clarkson,1886,55,210,21,49,9,1,3,23.0,0,0.0,0.0
whitede01,Deacon White,1886,124,491,65,142,19,5,1,76.0,31,0.0,0.0
ansonca01,Cap Anson,1886,125,504,117,187,35,11,10,147.0,55,0.0,0.0
thompsa01,Sam Thompson,1886,122,503,101,156,18,13,8,89.0,35,0.0,0.0
mcphebi01,Bid McPhee,1886,140,560,139,150,23,12,8,70.0,59,0.0,5.0
orourji01,Jim O'Rourke,1886,105,440,106,136,26,6,1,34.0,39,0.0,0.0
welchmi01,Mickey Welch,1886,59,213,17,46,4,2,0,18.0,7,0.0,0.0
galvipu01,Pud Galvin,1886,50,194,24,49,7,2,0,21.0,3,0.0,0.0
ewingbu01,Buck Ewing,1886,73,275,59,85,11,7,4,31.0,16,0.0,0.0
keefeti01,Tim Keefe,1886,64,205,26,35,10,1,1,20.0,17,0.0,0.0
radboch01,Old Hoss Radbourn,1886,66,253,30,60,5,1,2,22.0,17,0.0,0.0
mccarto01,Tommy McCarthy,1886,8,27,6,5,2,1,0,3.0,2,0.0,0.0
wardjo01,John Ward,1887,129,545,114,184,16,5,1,53.0,29,0.0,4.0
mcphebi01,Bid McPhee,1887,129,540,137,156,20,19,2,87.0,55,0.0,5.0
connoro01,Roger Connor,1887,127,471,113,134,26,22,17,104.0,75,0.0,8.0
keefeti01,Tim Keefe,1887,56,191,27,42,7,6,2,23.0,20,0.0,0.0
ansonca01,Cap Anson,1887,122,472,107,164,33,13,7,102.0,60,0.0,1.0
orourji01,Jim O'Rourke,1887,103,397,73,113,15,13,3,88.0,36,0.0,5.0
radboch01,Old Hoss Radbourn,1887,51,175,25,40,2,2,1,24.0,18,0.0,2.0
thompsa01,Sam Thompson,1887,127,545,118,203,29,23,10,166.0,32,0.0,9.0
clarkjo01,John Clarkson,1887,63,215,40,52,5,5,6,25.0,11,0.0,0.0
mccarto01,Tommy McCarthy,1887,18,70,7,13,4,0,0,6.0,2,0.0,1.0
whitede01,Deacon White,1887,111,449,71,136,20,11,3,75.0,26,0.0,9.0
kellyki01,King Kelly,1887,116,484,120,156,34,11,8,63.0,55,0.0,1.0
broutda01,Dan Brouthers,1887,123,500,153,169,36,20,12,101.0,71,0.0,6.0
welchmi01,Mickey Welch,1887,41,148,16,36,4,2,2,15.0,6,0.0,1.0
galvipu01,Pud Galvin,1887,49,193,10,41,7,3,2,22.0,2,0.0,0.0
ewingbu01,Buck Ewing,1887,77,318,83,97,17,13,6,44.0,30,0.0,3.0
thompsa01,Sam Thompson,1888,56,238,51,67,10,8,6,40.0,23,0.0,3.0
